Ground,Margin,Match Date,Scorecard,Team 1,Team 2,Winner,Number of Records
Chattogram,2 wickets,11/03/2011,ODI # 3127,Bangladesh,England,Bangladesh,1
Nagpur,3 wickets,12/03/2011,ODI # 3128,India,South Africa,South Africa,1
Mumbai,97 runs,13/03/2011,ODI # 3129,Canada,New Zealand,New Zealand,1
Bengaluru,60 runs,13/03/2011,ODI # 3130,Australia,Kenya,Australia,1
Chattogram,6 wickets,14/03/2011,ODI # 3131,Bangladesh,Netherlands,Bangladesh,1
Pallekele,7 wickets,14/03/2011,ODI # 3132,Pakistan,Zimbabwe,Pakistan,1
Kolkata,131 runs,15/03/2011,ODI # 3133,Ireland,South Africa,South Africa,1
Bengaluru,7 wickets,16/03/2011,ODI # 3134,Australia,Canada,Australia,1
Chennai,18 runs,17/03/2011,ODI # 3135,England,West Indies,England,1
Kolkata,6 wickets,18/03/2011,ODI # 3136,Ireland,Netherlands,Ireland,1
Mumbai,112 runs,18/03/2011,ODI # 3137,New Zealand,Sri Lanka,Sri Lanka,1
Dhaka,206 runs,19/03/2011,ODI # 3138,Bangladesh,South Africa,South Africa,1
Colombo (RPS),4 wickets,19/03/2011,ODI # 3139,Australia,Pakistan,Pakistan,1
Kolkata,161 runs,20/03/2011,ODI # 3140,Kenya,Zimbabwe,Zimbabwe,1
